tx_hash,from_address,to_address,contract_name,protocol,function_name,selector,assets_json,amounts_raw_json,amounts_human_json,token_symbols_json,primary_asset,primary_symbol,primary_amount_raw,primary_amount_human,total_usd_borrow_estimate,is_multi_asset,data_quality
0x8123d5707ab2be94dcaa31d51ef9ad10da20b24084864003a8db50eda75e8544,0xc6e1af0136776fb02dc7520afe0cff3484c6e0bb,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,Aave V3 Pool,Aave V3 flashLoan,flashLoan,0xab9c4b5d,"[""0x0000000000000000000000000000000000000001"", ""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"", ""0x0000000000000000000000000000000000000001"", ""0x000000000000000000000000016345785d8a0000"", ""0x0000000000000000000000000000000000000001"", ""0x0000000000000000000000000000000000000000"", ""0x0000000000000000000000000000000000000000"", ""0x0000000000000000000000000000000000000000""]","[""100000000000000000""]","[""0.1000""]","[""UNKNOWN"", ""WETH"", ""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN""]",0x0000000000000000000000000000000000000001,UNKNOWN,100000000000000000,0.1000,,true,OK
0xb99d048fee083b7eb3a3e824d85e43b4fe1600a355146892cbc6513addd68bec,0xc6e1af0136776fb02dc7520afe0cff3484c6e0bb,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,Aave V3 Pool,Aave V3 flashLoan,flashLoan,0xab9c4b5d,"[""0x0000000000000000000000000000000000000001"", ""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"", ""0x0000000000000000000000000000000000000001"", ""0x000000000000000000000000016345785d8a0000"", ""0x0000000000000000000000000000000000000001"", ""0x0000000000000000000000000000000000000000"", ""0x0000000000000000000000000000000000000000"", ""0x0000000000000000000000000000000000000000""]","[""100000000000000000""]","[""0.1000""]","[""UNKNOWN"", ""WETH"", ""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN""]",0x0000000000000000000000000000000000000001,UNKNOWN,100000000000000000,0.1000,,true,OK
0x3758459edd7f9ed693ccebb677b043b56c59c246d74fcd383b91aaeaa7843769,0xc6e1af0136776fb02dc7520afe0cff3484c6e0bb,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,Aave V3 Pool,Aave V3 flashLoan,flashLoan,0xab9c4b5d,"[""0x0000000000000000000000000000000000000001"", ""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"", ""0x0000000000000000000000000000000000000001"", ""0x000000000000000000000000016345785d8a0000"", ""0x0000000000000000000000000000000000000001"", ""0x0000000000000000000000000000000000000000"", ""0x0000000000000000000000000000000000000000"", ""0x0000000000000000000000000000000000000000""]","[""100000000000000000""]","[""0.1000""]","[""UNKNOWN"", ""WETH"", ""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN""]",0x0000000000000000000000000000000000000001,UNKNOWN,100000000000000000,0.1000,,true,OK
0x2624cf785199fcd7a7adfc7b188d654ca265d22a4cf21ea5eda23f384514552c,0xc6e1af0136776fb02dc7520afe0cff3484c6e0bb,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,Aave V3 Pool,Aave V3 flashLoan,flashLoan,0xab9c4b5d,"[""0x0000000000000000000000000000000000000001"", ""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"", ""0x0000000000000000000000000000000000000001"", ""0x000000000000000000000000016345785d8a0000"", ""0x0000000000000000000000000000000000000001"", ""0x0000000000000000000000000000000000000000"", ""0x0000000000000000000000000000000000000000"", ""0x0000000000000000000000000000000000000000""]","[""100000000000000000""]","[""0.1000""]","[""UNKNOWN"", ""WETH"", ""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN""]",0x0000000000000000000000000000000000000001,UNKNOWN,100000000000000000,0.1000,,true,OK
0x661afd3ca26e3f3a4a5e328c01785da6b3999f72d057fdce384688b07e3a0b2d,0xc6e1af0136776fb02dc7520afe0cff3484c6e0bb,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,Aave V3 Pool,Aave V3 flashLoan,flashLoan,0xab9c4b5d,"[""0x0000000000000000000000000000000000000001"", ""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"", ""0x0000000000000000000000000000000000000001"", ""0x000000000000000000000000016345785d8a0000"", ""0x0000000000000000000000000000000000000001"", ""0x0000000000000000000000000000000000000000"", ""0x0000000000000000000000000000000000000000"", ""0x0000000000000000000000000000000000000000""]","[""100000000000000000""]","[""0.1000""]","[""UNKNOWN"", ""WETH"", ""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN""]",0x0000000000000000000000000000000000000001,UNKNOWN,100000000000000000,0.1000,,true,OK
0x586ecd71496a8c91af5b426ae7d99a3ef10e730d5ccad9fb29909dc25ee9d92c,0xc6e1af0136776fb02dc7520afe0cff3484c6e0bb,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,Aave V3 Pool,Aave V3 flashLoan,flashLoan,0xab9c4b5d,"[""0x0000000000000000000000000000000000000001"", ""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"", ""0x0000000000000000000000000000000000000001"", ""0x000000000000000000000000016345785d8a0000"", ""0x0000000000000000000000000000000000000001"", ""0x0000000000000000000000000000000000000000"", ""0x0000000000000000000000000000000000000000"", ""0x0000000000000000000000000000000000000000""]","[""100000000000000000""]","[""0.1000""]","[""UNKNOWN"", ""WETH"", ""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN""]",0x0000000000000000000000000000000000000001,UNKNOWN,100000000000000000,0.1000,,true,OK
0xc2ab4ef7d7a11cc71b62b79c4cfe6c3bd8ada42facef93aa071f532272c0afdf,0xc6e1af0136776fb02dc7520afe0cff3484c6e0bb,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,Aave V3 Pool,Aave V3 flashLoan,flashLoan,0xab9c4b5d,"[""0x0000000000000000000000000000000000000001"", ""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"", ""0x0000000000000000000000000000000000000001"", ""0x000000000000000000000000016345785d8a0000"", ""0x0000000000000000000000000000000000000001"", ""0x0000000000000000000000000000000000000000"", ""0x0000000000000000000000000000000000000000"", ""0x0000000000000000000000000000000000000000""]","[""100000000000000000""]","[""0.1000""]","[""UNKNOWN"", ""WETH"", ""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN""]",0x0000000000000000000000000000000000000001,UNKNOWN,100000000000000000,0.1000,,true,OK
0x50e028eb535918f63998f7877215a467c7a8cc17f8e76025a5f49315cf9ef770,0xc6e1af0136776fb02dc7520afe0cff3484c6e0bb,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,Aave V3 Pool,Aave V3 flashLoan,flashLoan,0xab9c4b5d,"[""0x0000000000000000000000000000000000000001"", ""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"", ""0x0000000000000000000000000000000000000001"", ""0x000000000000000000000000016345785d8a0000"", ""0x0000000000000000000000000000000000000001"", ""0x0000000000000000000000000000000000000000"", ""0x0000000000000000000000000000000000000000"", ""0x0000000000000000000000000000000000000000""]","[""100000000000000000""]","[""0.1000""]","[""UNKNOWN"", ""WETH"", ""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN""]",0x0000000000000000000000000000000000000001,UNKNOWN,100000000000000000,0.1000,,true,OK
0xe089b8dc492ff3199bd3dd3286f0388389f890f14bc206c9b760335652e09b54,0xc6e1af0136776fb02dc7520afe0cff3484c6e0bb,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,Aave V3 Pool,Aave V3 flashLoan,flashLoan,0xab9c4b5d,"[""0x0000000000000000000000000000000000000001"", ""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"", ""0x0000000000000000000000000000000000000001"", ""0x000000000000000000000000016345785d8a0000"", ""0x0000000000000000000000000000000000000001"", ""0x0000000000000000000000000000000000000000"", ""0x0000000000000000000000000000000000000000"", ""0x0000000000000000000000000000000000000000""]","[""100000000000000000""]","[""0.1000""]","[""UNKNOWN"", ""WETH"", ""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN""]",0x0000000000000000000000000000000000000001,UNKNOWN,100000000000000000,0.1000,,true,OK
0x2c8f1df13470f41e6b279865c6233d424b69a24ea05bbc5144b3447a908030cc,0xc6e1af0136776fb02dc7520afe0cff3484c6e0bb,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,Aave V3 Pool,Aave V3 flashLoan,flashLoan,0xab9c4b5d,"[""0x0000000000000000000000000000000000000001"", ""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"", ""0x0000000000000000000000000000000000000001"", ""0x000000000000000000000000016345785d8a0000"", ""0x0000000000000000000000000000000000000001"", ""0x0000000000000000000000000000000000000000"", ""0x0000000000000000000000000000000000000000"", ""0x0000000000000000000000000000000000000000""]","[""100000000000000000""]","[""0.1000""]","[""UNKNOWN"", ""WETH"", ""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN""]",0x0000000000000000000000000000000000000001,UNKNOWN,100000000000000000,0.1000,,true,OK
